post_id,username,platform,content_type,caption,hashtags,time_of_post,day_of_week,location,followers_count,following_count,likes,comments,shares,saves,video_views,is_sponsored,ad_spend,engagement_rate,popularity_score
7NRv0OxhKm,M3EcwF,Twitter,Text,LvB0LefQh7fuYGgvrsfuCjFdm4SenG9p0Otp,#lnducrhis #hwobolqrdy,03:29,Sunday,London,,4228.0,25735.0,7180.0,2179.0,841.0,907979.0,0.0,719.89,0.6034,81.0
YmJKNbRpYj,,TikTok,Video,,#sjnoqkqm,00:21,Monday,Toronto,384095.0,1210.0,,6591.0,3420.0,1481.0,553708.0,1.0,652.04,0.0392,15.0
OeymCRmnOJ,O0e0if,LinkedIn,Video,o44LwxjIyruaRV2AkpbmFOvzrW5vS21seQNUXvXtRWM49wKksjbw2R33V38K4OcEgyPfPFM6,#hzoweiflsl #qgyb #drdklfkc #boxmkxvr #emlmzwyokl,10:11,Friday,Toronto,,3520.0,9062.0,4396.0,4775.0,,745443.0,,863.64,0.4019,48.0
1JQfroymtC,MDZXqL,,Text,KGWDMGrkGgJUWlWyBvSpiSHxMqEOEqEr9fSqXj40kWaxmnnlhefRvn7LMLhtTmMTrEoJ9w6IrR9RyYKoFWtQEamPERZ1zPJT,#siqkc #ygxlmloznz #gbmfjd #kmvqisxxme #smi,00:46,Saturday,Toronto,364780.0,2570.0,10772.0,8877.0,4137.0,541.0,964643.0,0.0,828.89,0.8346,17.0
2bp3toG2kQ,0Jc3LX,Twitter,,v0G8hj1HNV4EhSK84Jbnt,#fxpvxjt #bjix #yoiudpxbsr #htu #dcox,02:03,Saturday,Mumbai,,2661.0,26657.0,9722.0,316.0,832.0,11980.0,1.0,976.86,0.7227,68.0
,P6XZLq,LinkedIn,Poll,TyMVqdnSiss0VutobDgxOJHIjJdeDP,#nfyoibm,,Sunday,Toronto,157454.0,3504.0,49143.0,1811.0,3934.0,702.0,577587.0,1.0,,0.8169,0.0
W4R9fHIHyN,Kf8sGe,Instagram,Video,rPzqZBiFo2o4veRcVF11yfUn2bnzLD,#einqkgwcku #rihxgc,20:30,Monday,Berlin,596079.0,3595.0,47563.0,,2723.0,1921.0,624484.0,1.0,546.56,0.5129,62.0
IvwJyaeONI,TFc4BI,Facebook,Poll,,#sogvz #cillczmek #ght #ccsdyi,23:29,Tuesday,Sydney,701986.0,2220.0,42745.0,3242.0,2842.0,837.0,,0.0,,0.2589,47.0
oKiO3el9iP,6tcpdp,Instagram,Poll,,#pwcyhjhg #yqyuwir #uzldvgsat,02:34,Friday,Mumbai,883457.0,4705.0,27893.0,8027.0,3158.0,307.0,267225.0,1.0,465.04,0.0937,17.0
uXXVRwLfx3,89JnBe,LinkedIn,,uizWoCq57r2ugVUcGuAHDWoAMPvNyg5ID1YkpOL8jBpHIUt8xoIqrY9,#naddulqh #dwoujmed #ynyelzuy #zhqcpciuy,19:46,Thursday,London,444358.0,891.0,8164.0,8686.0,3328.0,479.0,35239.0,1.0,714.46,0.6856,91.0
X5K6GtxpwD,swrQck,LinkedIn,Poll,3ijrym7f4gyokA8P2NA9rj7eOTcZb0zYPxRY31xRNvqWpC7ov0tlhXAs215QryFExVoIaFRwG5fsHYF,#osnn #xhd #cqsswsy #hcbcspogb,10:17,Wednesday,Tokyo,266714.0,1283.0,29164.0,2587.0,3932.0,1509.0,418479.0,0.0,107.67,0.7531,81.0
kaUwXCOC66,WYKSvu,TikTok,Text,Eo8eGJrMBGbWjdus3HxoDIvrvI6ufmM1EZvRP2giCKlo4aMevtbG9uBzHOGNoIz,#kstqc #mlil #jjnpr #cws,10:34,Monday,New York,351335.0,,12978.0,844.0,982.0,63.0,782423.0,1.0,549.79,0.5305,75.0
Ey04jqp9k7,0pllOC,Facebook,Video,WjiicKzGAjzExDcuzGK54Z6HgfqF0GJllygLUX2096SVaRcc3zsbfjmjkQnt9mx,#gomg #qjmdbi #rwc #bxtfhblle,13:51,Monday,Tokyo,202155.0,2344.0,18187.0,3443.0,3935.0,1999.0,352832.0,1.0,285.68,0.698,
DgCUnaagpu,,Facebook,Story,apRuasDJetNm3ydORMAUDTADCpbXSQJVfvPd3FfPzWPvjYANmixUFOYf5,#fzgw #kyx,03:24,Thursday,London,721743.0,4240.0,35351.0,,1016.0,56.0,65002.0,0.0,807.49,0.8829,36.0
QlAMezkSzm,9a5Wpw,TikTok,,bdx54e6zXpLx5xNsg8NyaoOuTSD7gpkeyy61r2lqM,#ozqlj #lpltrgtvnq #zzcqww #lfqk #pmx,22:33,Tuesday,Mumbai,51801.0,1507.0,6400.0,9684.0,1526.0,1844.0,308120.0,0.0,276.34,0.11,5.0
y7cGXN9ZPy,ZjR8tf,Instagram,Text,MTGQk4mcjuFGGXqGhJ30gsvINE1EbD,#xhq #srspc #inyyet #ytnxnij #ozj,11:27,Monday,Tokyo,788604.0,2820.0,37338.0,7289.0,3512.0,771.0,,1.0,29.86,0.6271,84.0
Dl1QXeNb6T,gUV0oz,,Text,ZuixqeudRyiikbnbJ80Pk8ZXcQo9FFLgnRSkem2RK0wmoa95L1KGIqjvyDoqTe5LBwFxjMymSUG4HnStQG15,#ljzvmn #igkskkinj,21:37,Saturday,,379315.0,2008.0,,2303.0,1377.0,582.0,503429.0,1.0,327.89,0.5873,65.0
pBO7DRTfx5,6f0mDa,Twitter,Text,3UgkueVHGI7DmQndx2npaCwGxeP9kjTXsLEeoIdBHh7JQXdYT5YBmxi,#fuoywrg,05:53,Sunday,Paris,226150.0,3526.0,27141.0,978.0,,773.0,872893.0,1.0,842.25,0.7619,79.0
HUbhZWEXpa,ZNYM4K,Facebook,,SeuzaoxSZixTjM3niBXfc0EwhGGwlfD2uloIPQrKUW0,#oipxx #xuegpzfpr #usb #upsa,13:30,Sunday,Berlin,280375.0,1630.0,46035.0,508.0,1509.0,480.0,878098.0,0.0,126.75,0.8378,3.0
tdBQULLEiZ,hj2Vhg,TikTok,Story,zyhfg6IuajQUOcwybMqpNUTMFZ0SP6fvafcpunRgkDXkDyvVQcQ,#wfh #bee #zcqcpobn #ghamdwa,02:11,Wednesday,Mumbai,268276.0,1252.0,37806.0,5340.0,3481.0,274.0,595608.0,0.0,426.35,,41.0
,Svo8tX,TikTok,Video,LtKHYmENhrdTKUQzlE6C8I03rR8IJXQReJmTLDKj,#shppvjws #ddjpthd #ucbcybnad #vykvgt,07:04,Tuesday,Paris,631438.0,29.0,1204.0,8253.0,3706.0,1879.0,523654.0,1.0,469.94,0.6376,15.0
VyNEHOakKY,9yEHSl,Facebook,Poll,nKj8yfwYAUDyP8LWiubZeD9gmSC8efUojBmBdxPU1DV27juS18n2uCNN4xxkJiCYPrrE,#spfbb #cozjaevmns,18:13,,London,995056.0,3761.0,,9746.0,1736.0,360.0,424701.0,0.0,643.06,0.4947,60.0
BogAoGoaSb,AfLfUf,Twitter,Poll,GNk6YZuqfqH6fZEYi1CYY5bS4,#awnqt #sxz #jgmitsibcd #zwbvtnix #npsbox,02:55,,London,488276.0,573.0,47928.0,,2963.0,1699.0,317564.0,1.0,852.96,0.3849,74.0
AO2V5r5O8D,P5Ytmm,Facebook,Poll,DQeoUqKOQTLXaSXaJm3pabCq8XPGi3efXwlDmB0fIEVCvAvNp5xgY14oGTpGKsvIPCbX25yXwaI9aObYGbeVjSsGE6,#uezbkbav #cojxlzck #abgzmn #qgyrencaog,07:09,Tuesday,Berlin,,2865.0,8575.0,6990.0,656.0,506.0,733064.0,0.0,,0.4533,76.0
ulw4ffdzBg,JTzpuL,Facebook,Story,iqyIIT25ivwDeFQQe9KA312OYbiP3U1s0OlprO7PxyYZZGt7Yun4GxyqJjWxYI,#bxxdbebn #xrgd #eduag #azghhewdyx #jnjkvfzh,12:06,Tuesday,London,,1645.0,29376.0,9234.0,,1635.0,823502.0,1.0,559.85,0.3437,66.0
iqIkG4bLBH,9Se1tn,Facebook,Image,zLEvJBnELAry5QjYBQ1CQqKHDxHl2ZDqkqGMMTYqQUGmiTlwWVwNLEb5hLk9gsbWKcW9L,,01:21,Tuesday,Tokyo,680853.0,2243.0,19121.0,967.0,2348.0,1726.0,931858.0,1.0,282.48,0.7442,49.0
1bPEFjYyf1,mbXvW6,,Text,LxulrGCCs41E1q6ZErza9ov8S4RLSB,#aoyosxhpdx,12:09,Saturday,Mumbai,134277.0,1586.0,16750.0,1681.0,1956.0,1820.0,454465.0,0.0,397.13,0.3878,14.0
UeHtI0b8RC,u4zCwm,LinkedIn,Text,JnCXXB88mMUkp37uylcawdsLR8a360E9vbR49VQ7NorljEz48HROX1P,#dyps #wtjagtnrm #dbeu,09:39,Monday,,274575.0,2820.0,34567.0,6064.0,2213.0,1372.0,276842.0,0.0,392.74,0.5067,24.0
eR3JdkovnA,,Facebook,,mEKsfpOQ8vqcihEeAhCyidv8L6qwVtgN1TWL4HB4EqEeMULG,#uehokmlzs #naquy,12:03,Wednesday,Berlin,348132.0,3930.0,14779.0,287.0,4785.0,1007.0,256763.0,0.0,513.18,0.7669,42.0
uDLz2eOFqT,8fAGAd,Twitter,Image,zO4lVrhn1Vl9dREf8NdVeIm2c1SEaD1CO3fhhO7AI8i7dapXptm7JL7vO2UNOtrDRBfC71C6oVAeRS3UQp0N,#girk #xseuxlkp,03:49,,Sydney,97604.0,297.0,8616.0,4938.0,4858.0,1872.0,247005.0,0.0,,0.3783,34.0
Ee5S7GNjjW,StnckA,LinkedIn,Text,jcnc0Nh3DSvIAmoUqlgXkDeH15ROhuxZilQgVsytLx2ueBXqVMSaxT9WxoJBeRrsYf3qmjCn75XFy,#lsecohav #xgwjh #xyoriqxtq #evlhbw,11:34,Thursday,London,281985.0,1418.0,30371.0,9652.0,382.0,1878.0,115654.0,0.0,889.7,0.9195,86.0
hbdH3QJ0om,oLWWYW,Facebook,Story,cRBTasALQ1MRVtoozsth36eSdWyi49iVW6OPVNn9cGCijjYcPQVrGO2Uw9uvCg,#fivwja #vqsuztupz #komhowe,08:49,Saturday,New York,886095.0,3458.0,24864.0,4351.0,2698.0,524.0,559427.0,1.0,789.28,0.7844,82.0
Qn8zwyvhIQ,mASouM,Twitter,Image,dyF7OI9XJVn9LEvUc1cG1NMRdfnlKNQHpkkeAlglcHCUpG6v1eYKMl5jVALI2J3J5Wfd1wteC9,#adnptp #bprbrcg,01:13,Sunday,,347808.0,2120.0,23012.0,7695.0,3719.0,1464.0,363882.0,0.0,969.69,0.3593,71.0
uLipcqoI9I,CGGH7o,Twitter,Poll,9NuEVZYBjDgh3Ev5ll984YBufcJ82NzY02nGR7kYnOnPU6G6CrRwO1CBMEat1UlBVlP3a2kH0KsibDbu6keNMlDvegnIkWjqg,#tjoa #xxjct #rgdjztlk #hbajqumc #lkgtwskoz,14:43,,Paris,553055.0,,114.0,1569.0,2971.0,4.0,393244.0,1.0,708.56,0.1367,3.0
hbtNYecKRf,KX87P8,Instagram,Story,CTAfIZS1VDzHdFr4DfR0sOkoQuzoQkr8J1gmb69PQG5ivo7ezS2O48ucAnq4O,#tucq #jfuuydkuj #wvipwnlc #nxiynf,18:47,Thursday,,411266.0,615.0,16529.0,8376.0,1996.0,1035.0,700121.0,0.0,526.33,0.7516,47.0
GOB6iCMpKs,OEbAdL,TikTok,Text,sT072xyFPGhkP3tvTNkcarkqsHchZr9smMt87ahGnaVbyfyuaDnZNZ6oCKkWN1HiOWay6MG6GdlLP45AwNrw0ZXh,#ohtew #nprlmw,17:15,Friday,Toronto,304785.0,2511.0,40824.0,2936.0,311.0,1772.0,59280.0,0.0,87.05,0.72,22.0
OEcSfJSeMo,FZKngt,Twitter,Image,GMjZQns58nxd81bycoEf2HiQE67HR0bsW04GU3uQ3vXWyFOWMMnMVI6VYsMetADDahwRyw2QerRiBYBAKpqSdEdop1yA,#iocifdwa #gsi #uxxkuyjr #vbwmphxrfn #xlhemfc,06:56,Saturday,Paris,823789.0,2549.0,36073.0,2101.0,2981.0,888.0,245862.0,1.0,571.25,0.4607,78.0
9QRHYfapTa,d23Ad7,LinkedIn,Story,YnMRsFrg3rHSp0OaOLaEwFF5y9AFB,#npyb #oib #lmckqwjr #xywdollrlf,18:17,Wednesday,London,574596.0,167.0,29956.0,7042.0,197.0,389.0,847300.0,0.0,463.08,0.4773,0.0
,aARTkv,TikTok,,k4CK3hKp6CWkDllgiab3HmzyQdHkb221Bs,#vmhvvb,04:31,Tuesday,Berlin,33200.0,1982.0,15822.0,,1249.0,335.0,889510.0,0.0,640.69,0.4505,76.0
d75zRhrAmc,ZLo8wa,Instagram,,CorVBl6fMN1DJCKsa7i6uIR3jnTLLJV1Ryj85Ap9BfY8cHh3Tk62nJ,#aey #iqxnusocva #kxdd,13:23,Friday,Mumbai,289755.0,1905.0,33963.0,689.0,4665.0,975.0,108091.0,1.0,859.92,0.1641,39.0
caUc24K5nH,tu0ziJ,LinkedIn,Poll,NBw7ociauL6pcel1X5OcMN5DL2gHwYN7zs4oXA1D0jTKTSP,#pkyovmekoe #cdy #wjbcjtpwgq,02:57,Thursday,Paris,739093.0,2873.0,28401.0,4566.0,2940.0,1487.0,813793.0,,602.6,0.36,52.0
qp3MGi3gsw,igww3k,Instagram,Story,ofMppXR0Y0ikazRKBmFqNM4EUfd8BvlfkvEJsbSY81pIQNDIixAvFCGSJYf6WJiRPXVqB9tQCEXSTTSOcE17JQ,#rre #wceilgbvhy #ewoznffa #lszynr #pto,17:54,Monday,Berlin,890828.0,3831.0,8567.0,7288.0,163.0,986.0,750984.0,1.0,503.41,0.3303,89.0
eUbp5o1EAG,Wj6fNf,TikTok,Story,yfQdCGwMViUiwoKbB3f27xjxqjkna,#ujzyhgaxee #tdln #epkp,,Sunday,Paris,23486.0,30.0,17255.0,8821.0,498.0,838.0,666720.0,1.0,409.8,0.9438,
5wzn2F9Gtg,p5nYxA,TikTok,Poll,Zt8YqTePPXPvwCTLynk7DRzfVdcr65ZhI9Fp8AreQ9herI5Zo65ykm,#xiwmbxmi #jxobdzbriv #xkm #fuyqegb #onkavbzrb,03:32,Sunday,Berlin,629861.0,4700.0,38879.0,,4794.0,286.0,805501.0,1.0,523.54,0.2471,72.0
DDMagVVxnr,7gcnC9,Instagram,Poll,at2OBfYqCAAX2f7MKxKlHmICgz6Wc4Oijq0RHHYOBj5cEWU3EeQCK61Ic,#qbnhqfiho #btni #yteu,17:27,Monday,Toronto,93865.0,192.0,22526.0,9048.0,1496.0,1354.0,5697.0,1.0,713.99,0.6296,96.0
1loGiMDThr,bgWbhB,Twitter,,O8OerjTyR8vh9UZGTWH3ToIaTzH6Dg2Uczzfeot3uxh9tCmJKj,#wpuoulud,17:57,Saturday,Sydney,119239.0,,28983.0,3406.0,4936.0,1111.0,538323.0,1.0,4.61,0.0607,84.0
qDKTblPGAo,01ye9b,TikTok,Poll,gRIzXEkii8zbhkEiuQYygmHI7KLxoIjmOW,#jfympt #fqcjrrp #vudfuah,09:58,Monday,Paris,182268.0,933.0,10846.0,8646.0,3765.0,325.0,560763.0,0.0,215.72,0.2483,67.0
N10u0jD7nA,VnVvo1,TikTok,Text,i5k1hVI7FY2cDCSDDylZ6J6XuT8LZorHo56uFROn35yOYYtAmnnR67E0YziZKod297P18YUNGy8I9q0oWrqKogFeikmDPELWy,#upzmfsjw #rmoqp #zgkhbkecq,12:10,Thursday,Mumbai,505777.0,3248.0,13608.0,3913.0,2957.0,1626.0,15382.0,1.0,866.49,0.1633,19.0
dd5FYpI66W,,TikTok,Text,myR6MuQaDnVf5jSdLO9ERQoq1jfqtgUdhchzG7PUHKq0Fbqb4CeSe32k,#thssu #qfysrhzwdt,01:25,Tuesday,Mumbai,284084.0,1797.0,17160.0,8380.0,2661.0,1621.0,563538.0,0.0,,0.1319,42.0
02NdhEScF2,bx4jEA,,Image,X20EFwsw4tgY3HqyjnMybpK9pgV,#crfs,11:42,Saturday,Mumbai,645802.0,1240.0,6322.0,4481.0,2918.0,368.0,179415.0,0.0,763.68,,
q4jbp9KQ4U,uHBNOB,Facebook,Text,I3Z5S9lBNXUNpP4irRodbZdMCf0bSwJLOimy9kulO8,#folltwpq,19:38,Saturday,London,471790.0,147.0,14505.0,9259.0,69.0,1047.0,174544.0,1.0,397.87,0.982,93.0
25V1cGdp8S,IhzSgf,TikTok,Poll,S34pwfQlbhqEtakWjINkluFkvaD43yS4Ohfrv9jOdKEQldJnl0yLsrk2ZmV2x6oSbkLSWYuF3JpR9QDgHYFUljolLxx1otKB3,#txcseqtahv #bmlprffnj #hrcbbuxck #gac,13:18,Monday,Paris,116560.0,244.0,26151.0,9185.0,,1055.0,320105.0,1.0,955.58,0.4436,21.0
4345Rzm2hb,,Twitter,Image,UU83Osntq9nOkwsCWH75UwAiqSt8c5b6Vh5rzdHT521BVvIAiVjsaKwEyr7swa4ZDlqLc2Mo8,#kqvxhjy #kdjgdsesa #txecnazu #ohocstx,15:38,Thursday,Toronto,304872.0,2838.0,,6464.0,,1503.0,673449.0,0.0,198.19,0.1161,3.0
KeUpNlKpSp,GTvAm7,TikTok,Text,mRqlvsjW46Dz6V4Ux1mgVcn5mq2b08sTHHG4ORSw5lZqeaR9eEObyco,#gsrnwkgls,23:54,Tuesday,Toronto,572199.0,2951.0,40224.0,1635.0,3291.0,823.0,487051.0,0.0,336.65,,51.0
NxVvEjAXRq,,Facebook,Video,gSrM3L75pHxd0SxKOWgfiPtffqpB,#dulysugsa #ldeu #twcxbe #kvnbntczfc,17:33,Tuesday,Paris,763912.0,3825.0,40038.0,2872.0,624.0,824.0,614904.0,1.0,195.1,0.9419,100.0
A7Ad8ErTGw,GJSvxC,,Image,9DrkqHo6erBm3vOJ8GgHsPbklUd53qiYB3zrtWhB1htCv5S0Mz5,#ovaiz #gazvwzf #dgsvrhd,07:51,Wednesday,Berlin,23210.0,4703.0,31580.0,8800.0,2103.0,99.0,743069.0,1.0,,0.2543,79.0
UoUXvhDDen,Q3yXVa,Instagram,,gcZZpfMEw7Lgzau4L3AOSgA5TxekZjmOcJUrKjBTnPsnmdGi38R5aXZwIglBcXCkf1xQOjxE,#upk,08:27,Monday,Mumbai,922924.0,1075.0,48056.0,2724.0,2004.0,1730.0,387577.0,0.0,187.31,0.658,12.0
YDxHbGpLA4,QdTCST,Facebook,Text,cXo4w1a82UK8nbog6gSb9WLBUivJCS7IKWJvSU1grbtZ14SZ2V8GjQmdsJjRhk1Nj0NxDmN1Pbja3jGXFPkAX2,#ixnhvjcj #jrzruevt #uewlbr #dcvyjsjmgk #bbzglnznhc,12:17,Wednesday,Toronto,36788.0,741.0,35182.0,7322.0,4980.0,1977.0,162417.0,0.0,,0.302,12.0
a4v01sZxRL,uynQP8,Instagram,Video,GKooscQDLpyRgU5qlKNs0eoVQKLln1IN9UW5t88zkPLIaPq8p4rfAFZZjMdh8w7SyGFzlJNcm9sp,#ldtbm #rndno #pxubuzs,09:13,Sunday,New York,630185.0,3247.0,39736.0,9432.0,4026.0,325.0,772546.0,0.0,699.88,0.1863,6.0
GOaZqs7Bo7,IJxBbR,TikTok,Image,DzQ7a1c5vuFklpiLXg1hPhiy75DnlY4OxUCMfeH20gh7XuXYX26UXNCzyGtcbjNonhyCoYAo1rmVQ1GSxk5YKmTuKtuKyEhtzs,#hmsyrh #wrrnpc #rhreqclj #fpgld,19:51,Friday,Sydney,326568.0,4788.0,23370.0,1431.0,791.0,1689.0,637567.0,0.0,758.89,0.0206,59.0
FKh9JqUyMd,u0oaSI,LinkedIn,Image,4uBfj59ruI4it4n6yHLWq6ngTXGShwTe4ha9U4wtMdE8k3wtJ,#qxghccyyct #vkopjs #rcwps #khxn,12:41,Monday,London,514332.0,2632.0,49561.0,4764.0,434.0,959.0,,1.0,709.43,0.5065,74.0
Xpz590F1Fw,EjOR8u,Facebook,Story,,#rjgnssr #ohl #uat #vdbpmor #fmihxvj,11:16,Monday,Paris,110537.0,2375.0,3540.0,9973.0,4547.0,1370.0,126031.0,1.0,506.58,0.0252,10.0
BtT0y62i8w,S0USkH,TikTok,Video,DXmjKoeSioAMzBTQeDb1XCpJ1qb4Oyfntczln0KmoKAd3jkAGQv6t3s5vatQj2FzqKup1EwbHvn3,#koypn #mybifg,15:16,Tuesday,New York,653540.0,4290.0,40947.0,160.0,2044.0,1569.0,,1.0,872.0,0.1458,17.0
ch1GlSNkr2,P8Qo2y,,Image,,#zbkq #kjaogtf,14:41,,Mumbai,763597.0,1526.0,,7127.0,1055.0,100.0,243834.0,0.0,729.45,0.7816,40.0
DrDcOKytiQ,rHoIL2,LinkedIn,Video,,#bwuwoqd #yywo #eobbfmhwe #aiaz,14:34,Saturday,Berlin,981727.0,2043.0,6410.0,8426.0,857.0,1429.0,161.0,1.0,823.53,0.7204,78.0
Ms7HKUU1mS,4ZY1X9,TikTok,Video,NrpmT9Wj4m2hHUp3CS4EYTUVg5nF73EVGefkE7UeN6cRAL0oIbja91adhVwnjbr3fZNYyYAwih06FpM5FAKLra,#dogecbq #hiz #epxtqeg,20:27,Tuesday,Sydney,908649.0,3205.0,33032.0,6638.0,3281.0,651.0,43887.0,1.0,772.53,0.9277,75.0
